1,Thrift-Shop,Macklemore-and-Ryan-Lewis
2,Blurred-Lines,Robin-Thicke
3,Radioactive,Imagine-Dragons
4,Harlem-Shake,Baauer
5,Cant-Hold-Us,Macklemore-and-Ryan-Lewis
6,Mirrors,Justin-Timberlake
7,Just-Give-Me-a-Reason,Pink
8,When-I-Was-Your-Man,Bruno-Mars
9,Cruise,Florida-Georgia-Line
10,Roar,Katy-Perry
11,Locked-Out-of-Heaven,Bruno-Mars
12,Ho-Hey,The-Lumineers
13,Stay,Rihanna
14,Get-Lucky,Daft-Punk
15,Royals,Lorde
16,I-Knew-You-Were-Trouble,Taylor-Swift
17,We-Cant-Stop,Miley-Cyrus
18,Wrecking-Ball,Miley-Cyrus
19,Wake-Me-Up,Avicii
20,Suit-and-Tie,Justin-Timberlake
21,Cups,Anna-Kendrick
22,Holy-Grail,Jay-Z
23,Scream-and-Shout,william
24,Clarity,Zedd
25,Sail,Awolnation
26,Dont-You-Worry-Child,Swedish-House-Mafia
27,Diamonds,Rihanna
28,I-Love-It,Icona-Pop
29,Safe-and-Sound,Capital-Cities
30,Treasure,Bruno-Mars
31,The-Way,Ariana-Grande
32,Started-from-the-Bottom,Drake
33,Come-and-Get-It,Selena-Gomez
34,Hold-On-Were-Going-Home,Drake
35,Daylight,Maroon-5
36,Feel-This-Moment,Pitbull
37,Applause,Lady-Gaga
38,One-More-Night,Maroon-5
39,Love-Me,Lil-Wayne
40,My-Songs-Know-What-You-Did-in-the-Dark-Light-Em-Up,Fall-Out-Boy
41,Fuckin-Problems,A-AP-Rocky
42,Beauty-and-a-Beat,Justin-Bieber
43,Same-Love,Macklemore-and-Ryan-Lewis
44,Sweet-Nothing,Calvin-Harrish
45,Summertime-Sadness,Lana-Del-Rey
46,Home,Phillip-Phillips
47,Its-Time,Imagine-Dragons
48,Power-Trip,J-Cole
49,Girl-on-Fire,Alicia-Keys
50,Heart-Attack,Demi-Lovato
51,Love-Somebody,Maroon-5
52,I-Will-Wait,Mumford-and-Sons
53,Try,Pink
54,Wagon-Wheel,Darius-Rucker
55,Gangnam-Style,Psy
56,I-Need-Your-Love,Calvin-Harris
57,Die-Young,Kesha
58,Some-Nights,Fun
59,Bad,Wale
60,Boys-Round-Here,Blake-Shelton
61,Gone-Gone-Gone,Phillip-Phillips
62,Demons,Imagine-Dragons
63,Counting-Stars,OneRepublic
64,I-Cry,Flo-Rida
65,Little-Talks,Of-Monsters-and-Men
66,The-Other-Side,Jason-Derulo
67,Berzerk,Eminem
68,Catch-My-Breath,Kelly-Clarkson
69,Crash-My-Party,Luke-Bryan
70,Pour-It-Up,Rihanna
71,22,Taylor-Swift
72,I-Want-Crazy,Hunter-Hayes
73,The-Fox-What-Does-the-Fox-Say,Ylvis
74,Best-Song-Ever,One-Direction
75,The-A-Team,Ed-Sheeran
76,Carry-On,Fun
77,Highway-Dont-Care,Tim-McGraw
78,Thats-My-Kind-of-Night,Luke-Bryan
79,Swimming-Pools-Drank,Kendrick-Lamar
80,Sure-Be-Cool-If-You-Did,Blake-Shelton
81,Beautiful,Mariah-Carey
82,Troublemaker,Olly-Murs
83,Body-Party,Ciara
84,Adorn,Miguel
85,Hall-of-Fame,The-Script
86,Let-Me-Love-You-Until-You-Learn-to-Love-Yourself,Ne-Yo
87,UOENO,Rocko
88,Next-to-Me,Emeli-Sande
89,Mamas-Broken-Heart,Miranda-Lambert
90,It-Goes-Like-This,Thomas-Rhett
91,Bugatti,Ace-Hood
92,Wanted,Hunter-Hayes
93,Downtown,Lady-Antebellum
94,Get-Your-Shine-On,Florida-Georgia-Line
95,thatPower,william
96,Brave,Sara-Bareilles
97,Let-Her-Go,Passenger
98,Runnin-Outta-Moonlight,Randy-Houser
99,Im-Different,2-Chainz
100,Still-Into-You,Paramore
