artist,unique_word_counts
2-Chainz,212.0
5-Seconds-of-Summer,139.0
A-AP-Rocky,255.0
A-Great-Big-World,53.0
Ace-Hood,266.0
Adele,125.142857143
Alessia-Cara,195.0
Alex-Clare,86.0
Alicia-Keys,93.0
Aloe-Blacc,117.0
American-Authors,86.0
Andy-Grammer,95.0
Anna-Kendrick,60.0
Ariana-Grande,117.6
Avicii,79.6666666667
Avril-Lavigne,108.0
Awolnation,47.0
Baauer,5.0
Bad-Meets-Evil,386.0
Bastille,84.0
Becky-G,141.0
Beyonce,182.0
Big-Sean,262.0
Black-Eyed-Peas,179.0
Blake-Shelton,132.0
BoB,202.0
Bobby-Shmurda,236.0
Brad-Paisley,134.0
Brantley-Gilbert,126.0
Britney-Spears,87.6666666667
Bruno-Mars,116.285714286
Ca-h-Out,195.0
Calvin-Harris,60.5
Capital-Cities,61.0
Carly-Rae-Jepsen,102.0
Carrie-Underwood,114.0
Cee-Lo-Green,116.0
Charli-XCX,95.0
Charlie-Puth,91.0
Cher-Lloyd,131.0
Chris-Brown,166.75
Christina-Perri,96.0
Ciara,118.0
Clean-Bandit,100.0
Cobra-Starship,83.0
Coldplay,66.0
DJ-Khaled,294.0
DJ-Snake,55.0
Daft-Punk,65.0
Darius-Rucker,142.0
David-Guetta,102.333333333
Demi-Lovato,130.0
Dev,98.0
Dierks-Bentley,157.0
Disclosure,84.0
Dr-Dre,295.0
Drake,184.555555556
Echosmith,84.0
Ed-Sheeran,175.166666667
Edward-Maya,104.0
Eli-Young-Band,88.0
Ella-Henderson,122.0
Elle-King,111.0
Ellie-Goulding,91.6666666667
Emeli-Sande,98.0
Eminem,293.5
Enrique-Iglesias,116.0
Eric-Church,164.0
Fall-Out-Boy,107.333333333
Far-East-Movement,115.5
Fetty-Wap,200.0
Fifth-Harmony,110.0
Flo-Rida,178.8
Florida-Georgia-Line,147.5
Foster-the-People,100.0
Fun,165.75
Gavin-DeGraw,126.0
George-Ezra,82.0
Gotye,121.0
Gym-Class-Heroes,178.0
Havana-Brown,154.0
Hot-Chelle-Rae,137.0
Hozier,162.0
Hunter-Hayes,117.666666667
ILoveMakonnen,176.0
Icona-Pop,61.0
Idina-Menzel,145.0
Iggy-Azalea,201.5
Imagine-Dragons,95.0
J-Cole,206.0
Jack-U,80.0
Jake-Owen,117.5
James-Newton-Howard,55.0
Jason-Aldean,130.2
Jason-Derulo,114.833333333
Jason-Mraz,132.0
Jay-Z,261.0
Jay-Z-and-Kanye-West,248.0
Jennifer-Lopez,186.0
Jeremih,205.0
Jessie-J,146.25
Jidenna,166.0
John-Legend,111.0
Justin-Bieber,127.0
Justin-Timberlake,179.0
Kanye-West,248.5
Karmin,164.0
Katy-Perry,131.454545455
Kelly-Clarkson,106.666666667
Kelly-Rowland,136.0
Kendrick-Lamar,288.0
Kenny-Chesney,112.333333333
Keri-Hilson,135.0
Kesha,108.0
Kid-Ink,158.0
Kip-Moore,111.0
Kirko-Bangz,192.0
Kongos,92.0
LMFAO,117.5
Lady-Antebellum,129.333333333
Lady-Gaga,127.2
Lana-Del-Rey,105.0
Lee-Brice,79.0
Lil-Wayne,261.4
Linkin-Park,89.0
Little-Big-Town,93.5
Lorde,134.0
Luke-Bryan,136.714285714
Lupe-Fiasco,233.0
MKTO,156.0
Macklemore-and-Ryan-Lewis,296.4
Magic,122.0
Major-Lazer,77.0
Mariah-Carey,95.0
Mark-Ronson,139.0
Maroon-5,118.636363636
Martin-Garrix,4.0
Meek-Mill,175.0
Meghan-Trainor,119.4
Michael-Jackson,65.0
Miguel,109.0
Mike-Posner,70.0
Mike-WiLL-Made-It,179.0
Miley-Cyrus,98.0
Miranda-Lambert,130.0
Mr-Probz,60.0
Mumford-and-Sons,89.0
Natalie-La-Rose,88.0
Naughty-Boy,83.0
Ne-Yo,122.666666667
Nelly,155.0
Neon-Trees,94.5
New-Boyz,151.0
Nick-Jonas,83.5
Nicki-Minaj,217.142857143
Nicky-Jam,129.0
Nico-and-Vinz,103.0
OMI,174.0
OT-Genasis,81.0
Of-Monsters-and-Men,141.0
Olly-Murs,157.0
Omarion,177.0
One-Direction,98.6
OneRepublic,116.75
Owl-City,82.0
Paramore,101.0
Passenger,89.0
Pharrell-Williams,88.0
Phillip-Phillips,81.3333333333
Pink,127.6
Pitbull,159.571428571
Psy,87.0
Puff-Daddy,230.0
R-City,121.0
Rachel-Platten,115.0
Rae-Sremmurd,143.0
Randy-Houser,132.0
Rich-Gang,279.0
Rich-Homie-Quan,174.0
Rihanna,91.9333333333
Rixton,91.0
Robin-Thicke,217.0
Rocko,203.0
Rodney-Atkins,148.0
Sam-Hunt,137.333333333
Sam-Smith,83.0
Sara-Bareilles,120.0
ScHoolboy-Q,163.0
Selena-Gomez,135.666666667
Selena-Gomez-and-the-Scene,102.0
Shakira,104.0
Shawn-Mendes,109.0
Sia,100.333333333
Silento,38.0
Snoop-Dogg,215.0
Swedish-House-Mafia,88.0
T-Pain,213.0
T-Wayne,223.0
TI,272.0
Taio-Cruz,89.0
Taylor-Swift,129.9
The-Band-Perry,168.0
The-Lumineers,76.0
The-Neighbourhood,143.0
The-Script,120.5
The-Wanted,78.0
The-Weeknd,97.3333333333
Thomas-Rhett,89.0
Thompson-Square,131.0
Tim-McGraw,100.0
Tinashe,181.0
Tinie-Tempah,202.0
Toby-Keith,133.0
Tove-Lo,108.666666667
Train,136.5
Trey-Songz,135.0
Tyga,139.0
Usher,136.2
Vance-Joy,110.0
Waka-Flocka-Flame,287.0
Wale,249.0
Walk-the-Moon,86.0
Wiz-Khalifa,186.25
X-Ambassadors,61.0
YG,189.0
Ylvis,117.0
Zac-Brown-Band,143.0
Zedd,87.0
iLoveMemphis,165.0
william,124.5
