artist,word_counts
2-Chainz,523.5
5-Seconds-of-Summer,401.5
A-AP-Rocky,742.0
A-Great-Big-World,140.0
Ace-Hood,640.0
Adele,340.285714286
Alessia-Cara,432.0
Alex-Clare,268.0
Alicia-Keys,260.0
Aloe-Blacc,552.0
American-Authors,225.0
Andy-Grammer,401.0
Anna-Kendrick,267.0
Ariana-Grande,430.0
Avicii,231.666666667
Avril-Lavigne,378.0
Awolnation,132.0
Baauer,21.0
Bad-Meets-Evil,847.0
Bastille,285.0
Becky-G,389.0
Beyonce,566.0
Big-Sean,708.75
Black-Eyed-Peas,420.5
Blake-Shelton,308.75
BoB,596.0
Bobby-Shmurda,451.0
Brad-Paisley,280.0
Brantley-Gilbert,412.0
Britney-Spears,278.333333333
Bruno-Mars,314.142857143
Ca-h-Out,379.0
Calvin-Harris,229.0
Capital-Cities,228.0
Carly-Rae-Jepsen,415.0
Carrie-Underwood,261.5
Cee-Lo-Green,405.0
Charli-XCX,181.0
Charlie-Puth,322.0
Cher-Lloyd,476.0
Chris-Brown,517.125
Christina-Perri,220.0
Ciara,364.0
Clean-Bandit,362.0
Cobra-Starship,466.0
Coldplay,171.0
DJ-Khaled,788.0
DJ-Snake,241.5
Daft-Punk,490.0
Darius-Rucker,362.0
David-Guetta,335.333333333
Demi-Lovato,395.333333333
Dev,413.0
Dierks-Bentley,393.0
Disclosure,295.0
Dr-Dre,748.0
Drake,503.111111111
Echosmith,305.0
Ed-Sheeran,433.833333333
Edward-Maya,250.0
Eli-Young-Band,237.0
Ella-Henderson,433.0
Elle-King,351.0
Ellie-Goulding,364.666666667
Emeli-Sande,288.0
Eminem,648.5
Enrique-Iglesias,366.0
Eric-Church,312.0
Fall-Out-Boy,270.333333333
Far-East-Movement,257.5
Fetty-Wap,540.666666667
Fifth-Harmony,630.0
Flo-Rida,477.2
Florida-Georgia-Line,351.75
Foster-the-People,386.0
Fun,368.5
Gavin-DeGraw,319.0
George-Ezra,275.0
Gotye,325.0
Gym-Class-Heroes,485.333333333
Havana-Brown,412.0
Hot-Chelle-Rae,396.0
Hozier,427.0
Hunter-Hayes,304.0
ILoveMakonnen,549.0
Icona-Pop,251.0
Idina-Menzel,276.0
Iggy-Azalea,484.5
Imagine-Dragons,284.0
J-Cole,608.0
Jack-U,270.0
Jake-Owen,227.5
James-Newton-Howard,269.0
Jason-Aldean,314.2
Jason-Derulo,340.333333333
Jason-Mraz,285.0
Jay-Z,695.0
Jay-Z-and-Kanye-West,507.0
Jennifer-Lopez,553.0
Jeremih,635.0
Jessie-J,415.5
Jidenna,526.0
John-Legend,333.0
