artist,word_counts,unique_word_counts
Rihanna,339.466666667,91.9333333333
Katy-Perry,390.454545455,131.454545455
Maroon-5,430.181818182,118.636363636
Taylor-Swift,431.6,129.9
Drake,503.111111111,184.555555556
Chris-Brown,517.125,166.75
Adele,340.285714286,125.142857143
Bruno-Mars,314.142857143,116.285714286
Luke-Bryan,359.571428571,136.714285714
Nicki-Minaj,541.857142857,217.142857143
Pitbull,443.714285714,159.571428571
Calvin-Harris,229,60.5
David-Guetta,335.333333333,102.333333333
Ed-Sheeran,433.833333333,175.166666667
Imagine-Dragons,284,95
Jason-Derulo,340.333333333,114.833333333
Ariana-Grande,430,117.6
Flo-Rida,477.2,178.8
Jason-Aldean,314.2,130.2
Lady-Gaga,438.2,127.2
Lil-Wayne,676.4,261.4
Macklemore-and-Ryan-Lewis,646.2,296.4
Meghan-Trainor,401,119.4
One-Direction,336,98.6
Pink,366.8,127.6
Usher,452.4,136.2
