,rank,songname,artist,urls,lyrics_raw,word_counts,unique_word_counts,lyrkl_score,Year
0,1,Thrift-Shop,Macklemore-and-Ryan-Lewis,http://genius.com/Macklemore-and-Ryan-Lewis-Thrift-Shop-lyrics,"[Intro] / ""Hey, Macklemore, can we go thrift shopping?"" / What what, what, what [x8] / Bada, bada, bada dada / [Hook: Wanz] / I'm gonna pop some tags / Only got 20 dollars in my pocket / I'm, I'm, I'm hunting / Looking for a come up / This is fucking awesome / [Verse 1: Macklemore] / Now, walk into the club, like, ""What up, I got a big cock!"" / Nah, I’m just pumped, I bought some shit from a thrift shop / Ice on the fringe is so damn frosty / The people like, “Damn, that’s a cold ass honkey!” / Rolling in hella deep, headed to the mezzanine / Dressed in all pink; except my gator shoes, those are green / Draped in a leopard mink, girl standing next to me / Probably should've washed this, smells like R. Kelly sheets / (Pissssss...) But shit, it was 99 cents! / Fuck it, coppin' it, washin' it / ‘Bout to go and get some compliments / Passing up on those moccasins / Someone else has been walking in / Bummy and grungy, fuck it, man / I am stunting and flossing and saving my money / And I’m hella happy; that’s a bargain, bitch! / I’ma take your grandpa's style, I’ma take your grandpa's style / No, for real, ask your grandpa / Can I have his hand-me-downs? (Thank you!) / Velour jumpsuit and some house slippers / Dookie brown leather jacket / that I found diggin' / They had a broken keyboard, I bought a broken keyboard / I bought a skeet blanket, / then I bought a knee board / Hello, hello, my ace man, my mellow / John Wayne ain’t got nothing on my fringe game, hell no / I could take some Pro Wings, make them cool, sell those / The sneaker heads would be like, “Ah, he got the Velcros.” / [Hook: Wanz] / I'm gonna pop some tags / Only got 20 dollars in my pocket / I'm, I'm, I'm hunting / Looking for a come up / This is fucking awesome / [Verse 2: Macklemore] / What you know about rocking a wolf on your noggin? / What you knowing about wearing a fur fox skin? / I’m digging, I’m digging / I’m searching right through that luggage / One man’s trash, that’s another man’s come up / Thank your granddad for donating that plaid button- / Up shirt, / ‘cause right now, I’m up in here stuntin' / I’m at the Goodwill, / you can find me in the bins / I’m not, I’m not stuck on searchin' in that section (Mens) / Your grammy, your aunty, your momma, your mammy / I’ll take those flannel zebra jammies / Second hand and I’ll rock that, motherfucker / The built-in onesie with the socks on the motherfucker / I hit the party and they stop in that motherfucker / They be like, “Oh, that Gucci? That’s hella tight” / I’m like, “Yo, that’s 50 dollars for a t-shirt.” / Limited edition, / let’s do some simple addition / 50 dollars for a t-shirt, that’s just some ignorant bitch shit / I call that getting swindled and pimped, shit / I call that getting tricked by business / That shirt’s hella dough, / and having the same one as six other people in this club is a hella don’t / Peep game, come take a look through my telescope / Tryin' to get girls from a brand? / Man, you hella won’t! Man, you hella won't! / [Interlude] / Goodwill, poppin' tags, yeah! / [Hook: Wanz] / I'm gonna pop some tags / Only got 20 dollars in my pocket / I'm, I'm, I'm hunting / Looking for a come up / This is fucking awesome / [Bridge: Wanz] / I wear your granddad's clothes / I look incredible / I’m in this big ass coat / From that thrift shop down the road / [Hook: Wanz] / I'm gonna pop some tags / Only got 20 dollars in my pocket / I'm, I'm, I'm hunting / Looking for a come up / This is fucking awesome / [Outro] / ""Is that your grandma's coat?""",589.0,295.0,147.750424448,2013
1,2,Blurred-Lines,Robin-Thicke,http://genius.com/Robin-Thicke-Blurred-Lines-lyrics,"[Intro: Pharrell & Robin Thicke] / Everybody get up, / WOO! / Hey, hey, hey / Hey, hey, hey / Hey, hey, hey / [Verse 1: Robin Thicke] / If you can't hear what I'm trying to say / If you can't read from the same page / Maybe I'm going deaf / Maybe I'm going blind / Maybe I'm out of my mind / [Bridge: Robin Thicke] / Ok, now he was close / Tried to domesticate you / But you're an animal / Baby, it's in your nature / Just let me liberate you / You don't need no papers / That man is not your maker / And that's why I'm gon' take a / [Hook: Robin Thicke] / Good girl / I know you want it / I know you want it / I know you want it / You're a good girl / Can't let it get past me / You're far from plastic / Talk about getting blasted / I hate these blurred lines / I know you want it / I know you want it / I know you want it / But you're a good girl / The way you grab me / Must wanna get nasty / Go ahead, get at me / [Verse 2: Robin Thicke] / What do they make dreams for / When you got them jeans on / What do we need steam for / You the hottest bitch in this place / I feel so lucky, you wanna hug me / What rhymes with hug me? / Hey! / [Bridge: Robin Thicke] / Ok, now he was close / Tried to domesticate you / But you're an animal / Baby, it's in your nature / Just let me liberate you / You don't need no papers / That man is not your maker / And that's why I'm gon' take a / [Hook: Robin Thicke] / Good girl / I know you want it / I know you want it / I know you want it / You're a good girl / Can't let it get past me / You're far from plastic / Talk about getting blasted / I hate these blurred lines / I know you want it / I know you want it / I know you want it / But you're a good girl / The way you grab me / Must wanna get nasty / Go ahead, get at me / [Verse 3: T.I.] / Hustle Gang Homie / One thing I ask of you / Lemme be the one you back that ass up to / From Malibu to Paris, boo / Had a bitch, but she ain't bad as you / So, hit me up when you pass through / I'll give you something big enough to tear your ass in two / Swag on 'em even when you dress casual / I mean, it's almost unbearable / In a hundred years not dare would I / Pull a Pharcyde, let you pass me by / Nothin' like your last guy, he too square for you / He don't smack that ass and pull your hair like that / So I'm just watching and waitin' / For you to salute the true big pimpin' / Not many women can refuse this pimping / I'm a nice guy, but don't get confused, this pimpin' / [Breakdown: Robin Thicke] / Shake your rump / Get down, get up-a / Do it like it hurt, like it hurt / What you don't like work / Hey! / [Verse 4: Robin Thicke] / Baby, can you breathe / I got this from Jamaica / It always works for me / Dakota to Decatur / No more pretending / Cause now you're winning / Here's our beginning / I always wanted a / [Hook: Robin Thicke] / Good girl / I know you want it / I know you want it / I know you want it / You're a good girl / Can't let it get past me / You're far from plastic / Talk about getting blasted / I hate these blurred lines / I know you want it / I know you want it / I know you want it / But you're a good girl / The way you grab me / Must wanna get nasty / Go ahead, get at me / [Bridge: Pharrell & Robin Thicke] / Everybody get up / Everybody get up / Everybody get up / Hey, Hey, Hey / Hey, Hey, Hey / Hey, Hey, Hey / [Outro: Pharrell & Robin Thicke] / Everybody get up, WOO! / Hey, hey, hey / Hey, hey, hey / Hey, hey, hey",609.0,217.0,77.3218390805,2013
2,3,Radioactive,Imagine-Dragons,http://genius.com/Imagine-Dragons-Radioactive-lyrics,"[Verse 1] / I'm waking up to ash and dust / I wipe my brow and I sweat my rust / I'm breathing in the chemicals / I'm breaking in, shaping up / Checking out on the prison bus / This is it, the apocalypse, whoa / [Pre-Chorus] / I'm waking up, I feel it in my bones / Enough to make my systems blow / Welcome to the new age, to the new age / Welcome to the new age, to the new age / [Chorus] / Whoa, whoa, I'm radioactive, radioactive / Whoa, whoa, I'm radioactive, radioactive / [Verse 2] / I raise my flags, dye my clothes / It's a revolution, I suppose / We're painted red to fit right in / Whoa / I'm breaking in, shaping up / Then checking out on the prison bus / This is it, the apocalypse / Whoa / [Pre-Chorus] / I'm waking up, I feel it in my bones / Enough to make my systems blow / Welcome to the new age, to the new age / Welcome to the new age, to the new age / [Chorus] / Whoa, whoa, I'm radioactive, radioactive / Whoa, whoa, I'm radioactive, radioactive / [Bridge] / All systems go, sun hasn't died / Deep in my bones, straight from inside / [Pre-Chorus] / I'm waking up, I feel it in my bones / Enough to make my systems blow / Welcome to the new age, to the new age / Welcome to the new age, to the new age / [Chorus] / Whoa, whoa, I'm radioactive, radioactive / Whoa, whoa, I'm radioactive, radioactive",218.0,64.0,18.7889908257,2013
3,4,Harlem-Shake,Baauer,http://genius.com/Baauer-Harlem-Shake-lyrics,"Con los terroristas / (Do the Harlem Shake) / Con los terroristas / Ey / Ey / Ey / Ey / Ey / Ey / Con los terroristas / Ey / Con los terroristas / Ey / Ey,yeah,ey",21.0,5.0,1.19047619048,2013
4,5,Cant-Hold-Us,Macklemore-and-Ryan-Lewis,http://genius.com/Macklemore-and-Ryan-Lewis-Cant-Hold-Us-lyrics,"[Instrumental] / [Verse 1: Macklemore] / Return of the Mack / Get 'em, what it is, what it does, what it is, what it isn't / Looking for a better way to get up out of bed / Instead of getting on the Internet and checking a new hit me, get up / Thrift shop, pimp strut walking / Little bit of humble, little bit of cautious / Somewhere between like Rocky and Cosby / Sweater game nope nope y'all can't copy / Yup, / Bad, moonwalking, / this here is our party / My posse's been on Broadway, / and we did it our way / Grown music, I shed my skin and put my bones / Into everything I record to it and yet I'm on / Let that stage light go and shine on down / Got that Bob Barker suit game and plinko in my style / Money, stay on my craft and stick around for those pounds / But, I do that to pass the torch and put on for my town / Trust me, on my I-N-D-E-P-E-N-D-E-N-T shit hustlin' / Chasing dreams since I was fourteen / With the four-track, bussing / Halfway cross that city with the backpack / Fat cat, crushing labels out here, / nah, they can't tell me nothing / We give that to the people, spread it across the country / Labels out here, nah they can't tell me nothing / We give it to the people, spread it across the country / [Hook: Ray Dalton] / Can we go back, this is the moment / Tonight is the night, we'll fight 'til it's over / So we put our hands up like the ceiling can't hold us / Like the ceiling can't hold us / [Hook: Ray Dalton] / Can we go back, this is the moment / Tonight is the night, we'll fight 'til it's over / So we put our hands up like the ceiling can't hold us / Like the ceiling can't hold us / [Verse 2: Macklemore] / Now can I kick it, thank you / Yeah, I'm so damn grateful / I grew up really wanting gold fronts / But that’s what you get when Wu-Tang raised you / Y'all can't stop me / Go hard like I got a 808 in my heart beat / And I'm eating at the beat like you gave a little speed / To a great white shark on Shark Week, raw! / Tell me go up, gone, deuces, goodbye, I got a world to see / And my girl, she wanna see Rome, Caesar'll make you a believer / Nah, I never, ever did it for a throne, that validation comes / From giving it back to the people, / now sing a song and it goes like / Raise those hands, this is our party / We came here to live life like nobody was watching / I got my city right behind me, if I fall, they got me / Learn from that failure, gain humility, and then we keep marching, I said / [Hook: Ray Dalton] / Can we go back, this is the moment / Tonight is the night, we'll fight 'til it's over / So we put our hands up like the ceiling can't hold us / Like the ceiling can't hold us / [Hook: Ray Dalton] / Can we go back, this is the moment / Tonight is the night, we'll fight 'til it's over / So we put our hands up like the ceiling can't hold us / Like the ceiling can't hold us / And so we put our hands up / And so we put our hands up / Oh, oh, oh, oh..... / [Bridge: Macklemore and Ray Dalton] / Na na na na, na na na na / Hey-ee ay-ee ay-ee ay ay-ee ay-ee, hey / And all my people say / Na na na na, na na na na / Hey-ee ay-ee ay-ee ay ay-ee ay-ee, hey / And all my people say / [Bridge: Macklemore and Ray Dalton] / Na na na na, na na na na / Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh / And all my people say / Na na na na, na na na na / Mack-le-eh-eh-eh-eh-more! / [Hook: Ray Dalton] / Can we go back, this is the moment / Tonight is the night, we'll fight 'til it's over / So we put our hands up like the ceiling can't hold us / Like the ceiling can't hold us / [Hook: Ray Dalton] / Can we go back, this is the moment / Tonight is the night, we'll fight 'til it's over / So we put our hands up like the ceiling can't hold us / Like the ceiling can't hold us / [Music Video Ending x2] / Let the night come, before the fight's won / Some might run against the test / Yeah those that triumph embrace the fight cause / The fear is there to prove that courage exists",703.0,264.0,99.1408250356,2013
5,6,Mirrors,Justin-Timberlake,http://genius.com/Justin-Timberlake-Mirrors-lyrics,"[Verse 1] / Aren't you somethin' to admire / Cause your shine is somethin' like a mirror / And I can't help but notice / You reflect in this heart of mine / If you ever feel alone and / The glare makes me hard to find / Just know that I'm always / Parallel on the other side / [Bridge] / Cause with your hand in my hand and a pocket full of soul / I can tell you there's no place we couldn't go / Just put your hand on the glass / I'm here tryin' to pull you through / You just gotta be strong / [Hook] / Cause I don't wanna lose you now / I'm lookin' right at the other half of me / The vacancy that sat in my heart / Is a space that now you hold / Show me how to fight for now / And I'll tell you, baby, it was easy / Comin' back here to you once I figured it out / You were right here all along / It's like you're my mirror / My mirror staring back at me / I couldn't get any bigger / With anyone else beside me / And now it's clear as this promise / That we're making / Two reflections into one / Cause it's like you're my mirror / My mirror staring back at me, staring back at me / [Verse 2] / Aren't you somethin', an original / Cause it doesn't seem merely a sample / And I can't help but stare, cause / I see truth somewhere in your eyes / I can't ever change without you / You reflect me, I love that about you / And if I could, I / Would look at us all the time / [Bridge] / Cause with your hand in my hand and a pocket full of soul / I can tell you there's no place we couldn't go / Just put your hand on the glass / I'm here tryin' to pull you through / You just gotta be strong / [Hook] / Cause I don't wanna lose you now / I'm lookin' right at the other half of me / The vacancy that sat in my heart / Is a space that now you hold / Show me how to fight for now / And I'll tell you, baby, it was easy / Comin' back here to you once I figured it out / You were right here all along / It's like you're my mirror / My mirror staring back at me / I couldn't get any bigger / With anyone else beside me / And now it's clear as this promise / That we're making / Two reflections into one / Cause it's like you're my mirror / My mirror staring back at me, staring back at me / [Break] / Yesterday is history / Tomorrow's a mystery / I can see you lookin' back at me / Keep your eyes on me / Baby, keep your eyes on me / [Hook] / Cause I don't wanna lose you now / I'm lookin' right at the other half of me / The vacancy that sat in my heart / Is a space that now you hold / Show me how to fight for now / And I'll tell you, baby, it was easy / Comin' back here to you once I figured it out / You were right here all along / It's like you're my mirror / My mirror staring back at me / I couldn't get any bigger / With anyone else beside me / And now it's clear as this promise / That we're making / Two reflections into one / Cause it's like you're my mirror / My mirror staring back at me, staring back at me / You are, you are the love of my life / [Verse 3] / Baby, you're the inspiration of this precious song / And I just wanna see your face light up since you put me on / So now I say goodbye to the old me, it's already gone / And I can't wait wait wait wait wait to get you home / Just to let you know, you are / [Verse 4] / Girl you're my reflection, all I see is you / My reflection, in everything I do / You're my reflection and all I see is you / My reflection, in everything I do",644.0,175.0,47.5543478261,2013
6,7,Just-Give-Me-a-Reason,Pink,http://genius.com/Pink-Just-Give-Me-a-Reason-lyrics,"[Verse 1: Pink] / Right from the start / You were a thief you stole my heart / And I your willing victim / I let you see the parts of me / That weren't all that pretty / And with every touch you fixed them / Now you've been talking in your sleep / Oh Oh / Things you never say to me / Oh Oh / Tell me that you've had enough / Of our love, our love / [Chorus: Pink] / Just give me a reason / Just a little bit's enough / Just a second we're not broken just bent / And we can learn to love again / It's in the stars / It's been written in the scars on our hearts / We're not broken just bent / And we can learn to love again / [Verse 2: Nate Ruess (and Pink)] / I'm sorry I don't understand where all of this is coming from / I thought that we were fine / ( / Oh we had everything / ) / Your head is running wild again / My dear we still have everything / And it's all in your mind / Yeah but this is happening / You've been having real bad dreams / Oh oh / You used to lie so close to me / Oh oh / There's nothing more than empty sheets / Between our love, our love, oh our love, our love / [Pink & Nate Ruess] / “Just give me a reason / Just a little bit’s enough / Just a second we’re not broken, just bent / And we can learn to love again / [Nate Ruess] / I’ve never stopped / You’re still written in the scars on my heart / [Pink & Nate Ruess] / You’re not broken just bent / And we can learn to love again / [Bridge: Nate Ruess and Pink] / Oh tears ducts and rust / I'll fix it for us / We're collecting dust but our love's enough / You're holding it in / You're pouring a drink / No nothing is as bad as it seems / We'll come clean / [Chorus: Both] / Just give me a reason / Just a little bit's enough / Just a second we're not broken just bent / And we can learn to love again / It's in the stars / It's been written in the scars on our hearts / We're not broken just bent / And we can learn to love again / [Chorus: Both] / Just give me a reason / Just a little bit's enough / Just a second we're not broken just bent / And we can learn to love again / It's in the stars / It's been written in the scars on our hearts / We're not broken just bent / And we can learn to love again / [Outro: Both] / Oh we can learn to love again / Oh we can learn to love again / Oh / That we're not broken just bent / And we can learn to love again",403.0,135.0,45.223325062,2013
7,8,When-I-Was-Your-Man,Bruno-Mars,http://genius.com/Bruno-Mars-When-I-Was-Your-Man-lyrics,"[Verse 1] / Same bed but it feels just a little bit bigger now / Our song on the radio but it don't sound the same / When our friends talk about you, all it does is just tear me down / Cause my heart breaks a little when I hear your name / [Pre-Chorus] / It all just sounds like, oooooh / Mmm, too young, too dumb to realize / [Chorus] / That I should have bought you flowers / And held your hand / Should have gave you all my hours / When I had the chance / Take you to every party / Cause all you wanted to do was dance / Now my baby's dancing / But she's dancing with another man / [Verse 2] / My pride, my ego, my needs, and my selfish ways / Caused a good, strong woman like you to walk out my life / Now I never, never get to clean up the mess I made / And it haunts me every time I close my eyes / [Pre-Chorus] / It all just sounds like, oooooh / Mmm, too young, too dumb to realize / [Chorus] / That I should have bought you flowers / And held your hand / Should have gave you all my hours / When I had the chance / Take you to every party / Cause all you wanted to do was dance / Now my baby's dancing / But she's dancing with another man / [Bridge] / Although it hurts / I'll be the first to say that I was wrong / Oh, I know I'm probably much too late / To try and apologize for my mistakes / But I just want you to know / [Outro] / I hope he buys you flowers / I hope he holds your hand / Give you all his hours / When he has the chance / Take you to every party / Cause I remember how much you loved to dance / Do all the things I should have done / When I was your man / Do all the things I should have done / When I was your man",306.0,135.0,59.5588235294,2013
8,9,Cruise,Florida-Georgia-Line,http://genius.com/Florida-Georgia-Line-Cruise-lyrics,"[Intro] / Baby you a song / You make me wanna roll my windows down and cruise / Hey baby / [Verse 1] / Yeah, when I first saw that bikini top on her / She’s popping right out of the South Georgia water / Thought, ""Oh, good lord, she had them long tanned legs"" / Could not help myself so I walked up and said / [Chorus] / Baby you a song / You make me wanna roll my windows down and cruise / Down a back road blowing stop signs through the middle / Every little farm town with you / In this brand new Chevy with a lift kit / Would look a hell of a lot better with you up in it / So baby you a song / You make me wanna roll my windows down and cruise / [Verse 2] / She was / sipping on Southern / and singing / Marshall Tucker / We were falling in love in the sweet heart of summer / She hopped right up into the cab of my truck and said / ""Fire it up, let us go get this thing stuck"" / [Chorus] / Baby you a song / You make me wanna roll my windows down and cruise / Down a back road blowing stop signs through the middle / Every little farm town with you / In this brand new Chevy with a lift kit / Would look a hell of a lot better with you up in it / So baby you a song / You make me wanna roll my windows down and cruise / [Verse 3] / When that summer sun fell to its knees / I looked at her and she looked at me / And I turned on those KC lights and drove all night / Because it felt so right, her and I, man we felt so right / [Verse 4] / I put it in park and / Grabbed my guitar / And strummed a couple chords / And sang from the heart / Girl you sure got the beat in my chest bumping / Hell I cannot get you out of my head / [Interlude] / Baby you a song / You make me wanna roll my windows down and cruise / Down a back road blowing stop signs through the middle / Every little farm town with you / [Chorus] / Baby you a song / You make me wanna roll my windows down and cruise / Down a back road blowing stop signs through the middle / Every little farm town with you / In this brand new Chevy with a lift kit / Would look a hell of a lot better with you up in it / Come on / Baby you a song / You make me wanna roll my windows down and cruise / [Outro] / Come on girl / Get those windows down and cruise / Aw yea",428.0,150.0,52.5700934579,2013
9,10,Roar,Katy-Perry,http://genius.com/Katy-Perry-Roar-lyrics,"[Video Directed by Grady Hall & Mark Kudsi] / [Produced by Dr. Luke & Max Martin] / [Verse 1] / I used to bite my tongue and hold my breath / Scared to rock the boat and make a mess / So I sat quietly, agreed politely / I guess that I forgot I had a choice / I let you push me past the breaking point / I stood for nothing, so I fell for everything / [Pre-Chorus] / You held me down, but I got up (hey) / Already brushing off the dust / You hear my voice, your hear that sound / Like thunder, gonna shake the ground / You held me down, but I got up / Get ready cause I had enough / I see it all, I see it now / [Chorus ] / I got the eye of the tiger, a fighter / Dancing through the fire / Cause I am a champion, and you’re gonna hear me roar / Louder, louder than a lion / Cause I am a champion, and you’re gonna hear me roar / [Post-Chorus] / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / You’re gonna hear me roar / [Verse 2] / Now I’m floating like a butterfly / Stinging like a bee / I earned my stripes / I went from zero, to my own hero / [Pre-Chorus] / You held me down, but I got up (hey) / Already brushing off the dust / You hear my voice, your hear that sound / Like thunder, gonna shake the ground / You held me down, but I got up / Get ready cause I had enough / I see it all, I see it now / [Chorus] / I got the eye of the tiger, a fighter / Dancing through the fire / Cause I am a champion, and you’re gonna hear me roar / Louder, louder than a lion / Cause I am a champion, and you’re gonna hear me roar / [Post-Chorus] / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / You’re gonna hear me roar / [Post-Chorus] / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / (You'll hear me roar) / Oh oh oh oh oh oh oh oh / You’re gonna hear me roar / [Bridge] / Roar, roar, roar, roar, roar... / [Chorus] / I got the eye of the tiger, a fighter / Dancing through the fire / Cause I am a champion, and you’re gonna hear me roar / Louder, louder than a lion / Cause I am a champion, and you’re gonna hear me roar / [Post-Chorus] / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / You’re gonna hear me roar / [Post-Chorus] / Oh oh oh oh oh oh oh oh / Oh oh oh oh oh oh oh oh / (You'll hear me roar) / Oh oh oh oh oh oh oh oh / You’re gonna hear me roar",455.0,101.0,22.4197802198,2013
