,rank,songname,artist,url
0,1,Uptown-Funk,Mark-Ronson,http://genius.com/Mark-Ronson-Uptown-Funk-lyrics
1,2,Thinking-Out-Loud,Ed-Sheeran,http://genius.com/Ed-Sheeran-Thinking-Out-Loud-lyrics
2,3,See-You-Again,Wiz-Khalifa,http://genius.com/Wiz-Khalifa-See-You-Again-lyrics
3,4,Trap-Queen,Fetty-Wap,http://genius.com/Fetty-Wap-Trap-Queen-lyrics
4,5,Sugar,Maroon-5,http://genius.com/Maroon-5-Sugar-lyrics
5,6,Shut-Up-and-Dance,Walk-the-Moon,http://genius.com/Walk-the-Moon-Shut-Up-and-Dance-lyrics
6,7,Blank-Space,Taylor-Swift,http://genius.com/Taylor-Swift-Blank-Space-lyrics
7,8,Watch-Me,Silento,http://genius.com/Silento-Watch-Me-lyrics
8,9,Earned-It,The-Weeknd,http://genius.com/The-Weeknd-Earned-It-lyrics
9,10,The-Hills,The-Weeknd,http://genius.com/The-Weeknd-The-Hills-lyrics
10,11,Cheerleader,OMI,http://genius.com/OMI-Cheerleader-lyrics
11,12,Cant-Feel-My-Face,The-Weeknd,http://genius.com/The-Weeknd-Cant-Feel-My-Face-lyrics
12,13,Love-Me-Like-You-Do,Ellie-Goulding,http://genius.com/Ellie-Goulding-Love-Me-Like-You-Do-lyrics
13,14,Take-Me-to-Church,Hozier,http://genius.com/Hozier-Take-Me-to-Church-lyrics
14,15,Bad-Blood,Taylor-Swift,http://genius.com/Taylor-Swift-Bad-Blood-lyrics
15,16,Lean-On,Major-Lazer,http://genius.com/Major-Lazer-Lean-On-lyrics
16,17,Want-to-Want-Me,Jason-Derulo,http://genius.com/Jason-Derulo-Want-to-Want-Me-lyrics
17,18,Shake-It-Off,Taylor-Swift,http://genius.com/Taylor-Swift-Shake-It-Off-lyrics
18,19,Where-Are-u-Now,Jack-U,http://genius.com/Jack-U-Where-Are-u-Now-lyrics
19,20,Fight-Song,Rachel-Platten,http://genius.com/Rachel-Platten-Fight-Song-lyrics
20,21,679,Fetty-Wap,http://genius.com/Fetty-Wap-679-lyrics
21,22,Lips-Are-Movin,Meghan-Trainor,http://genius.com/Meghan-Trainor-Lips-Are-Movin-lyrics
22,23,Worth-It,Fifth-Harmony,http://genius.com/Fifth-Harmony-Worth-It-lyrics
23,24,Post-to-Be,Omarion,http://genius.com/Omarion-Post-to-Be-lyrics
24,25,Honey-Im-Good,Andy-Grammer,http://genius.com/Andy-Grammer-Honey-Im-Good-lyrics
25,26,Im-Not-the-Only-One,Sam-Smith,http://genius.com/Sam-Smith-Im-Not-the-Only-One-lyrics
26,27,Good-for-You,Selena-Gomez,http://genius.com/Selena-Gomez-Good-for-You-lyrics
27,28,All-About-That-Bass,Meghan-Trainor,http://genius.com/Meghan-Trainor-All-About-That-Bass-lyrics
28,29,Style,Taylor-Swift,http://genius.com/Taylor-Swift-Style-lyrics
29,30,Hotline-Bling,Drake,http://genius.com/Drake-Hotline-Bling-lyrics
30,31,Hey-Mama,David-Guetta,http://genius.com/David-Guetta-Hey-Mama-lyrics
31,32,GDFR,Flo-Rida,http://genius.com/Flo-Rida-GDFR-lyrics
32,33,What-Do-You-Mean,Justin-Bieber,http://genius.com/Justin-Bieber-What-Do-You-Mean-lyrics
33,34,Photograph,Ed-Sheeran,http://genius.com/Ed-Sheeran-Photograph-lyrics
34,35,Hello,Adele,http://genius.com/Adele-Hello-lyrics
35,36,Stitches,Shawn-Mendes,http://genius.com/Shawn-Mendes-Stitches-lyrics
36,37,Talking-Body,Tove-Lo,http://genius.com/Tove-Lo-Talking-Body-lyrics
37,38,Jealous,Nick-Jonas,http://genius.com/Nick-Jonas-Jealous-lyrics
38,39,Time-of-Our-Lives,Pitbull-and-Ne-Yo,http://genius.com/Pitbull-and-Ne-Yo-Time-of-Our-Lives-lyrics
39,40,Locked-Away,R-City,http://genius.com/R-City-Locked-Away-lyrics
40,41,Somebody,Natalie-La-Rose,http://genius.com/Natalie-La-Rose-Somebody-lyrics
41,42,FourFiveSeconds,Rihanna,http://genius.com/Rihanna-FourFiveSeconds-lyrics
42,43,Centuries,Fall-Out-Boy,http://genius.com/Fall-Out-Boy-Centuries-lyrics
43,44,My-Way,Fetty-Wap,http://genius.com/Fetty-Wap-My-Way-lyrics
44,45,Take-Your-Time,Sam-Hunt,http://genius.com/Sam-Hunt-Take-Your-Time-lyrics
45,46,Animals,Maroon-5,http://genius.com/Maroon-5-Animals-lyrics
46,47,I-Dont-Fuck-with-You,Big-Sean,http://genius.com/Big-Sean-I-Dont-Fuck-with-You-lyrics
47,48,Bitch-Better-Have-My-Money,Rihanna,http://genius.com/Rihanna-Bitch-Better-Have-My-Money-lyrics
48,49,Flex-Ooh-Ooh-Ooh,Rich-Homie-Quan,http://genius.com/Rich-Homie-Quan-Flex-Ooh-Ooh-Ooh-lyrics
49,50,Nasty-Freestyle,T-Wayne,http://genius.com/T-Wayne-Nasty-Freestyle-lyrics
50,51,Only,Nicki-Minaj,http://genius.com/Nicki-Minaj-Only-lyrics
51,52,Elastic-Heart,Sia,http://genius.com/Sia-Elastic-Heart-lyrics
52,53,Cool-for-the-Summer,Demi-Lovato,http://genius.com/Demi-Lovato-Cool-for-the-Summer-lyrics
53,54,Renegades,X-Ambassadors,http://genius.com/X-Ambassadors-Renegades-lyrics
54,55,I-Dont-Mind,Usher,http://genius.com/Usher-I-Dont-Mind-lyrics
55,56,Love-Me-Harder,Ariana-Grande,http://genius.com/Ariana-Grande-Love-Me-Harder-lyrics
56,57,Wildest-Dreams,Taylor-Swift,http://genius.com/Taylor-Swift-Wildest-Dreams-lyrics
57,58,Stay-with-Me,Sam-Smith,http://genius.com/Sam-Smith-Stay-with-Me-lyrics
58,59,You-Know-You-Like-It,DJ-Snake,http://genius.com/DJ-Snake-You-Know-You-Like-It-lyrics
59,60,Uma-Thurman,Fall-Out-Boy,http://genius.com/Fall-Out-Boy-Uma-Thurman-lyrics
60,61,7-11,Beyonce,http://genius.com/Beyonce-7-11-lyrics
61,62,The-Heart-Wants-What-It-Wants,Selena-Gomez,http://genius.com/Selena-Gomez-The-Heart-Wants-What-It-Wants-lyrics
62,63,Girl-Crush,Little-Big-Town,http://genius.com/Little-Big-Town-Girl-Crush-lyrics
63,64,Slow-Motion,Trey-Songz,http://genius.com/Trey-Songz-Slow-Motion-lyrics
64,65,Drag-Me-Down,One-Direction,http://genius.com/One-Direction-Drag-Me-Down-lyrics
65,66,Truffle-Butter,Nicki-Minaj,http://genius.com/Nicki-Minaj-Truffle-Butter-lyrics
66,67,One-Last-Time,Ariana-Grande,http://genius.com/Ariana-Grande-One-Last-Time-lyrics
67,68,Chains,Nick-Jonas,http://genius.com/Nick-Jonas-Chains-lyrics
68,69,All-Eyes-on-You,Meek-Mill,http://genius.com/Meek-Mill-All-Eyes-on-You-lyrics
69,70,No-Type,Rae-Sremmurd,http://genius.com/Rae-Sremmurd-No-Type-lyrics
70,71,Riptide,Vance-Joy,http://genius.com/Vance-Joy-Riptide-lyrics
71,72,Classic-Man,Jidenna,http://genius.com/Jidenna-Classic-Man-lyrics
72,73,Exs-and-Ohs,Elle-King,http://genius.com/Elle-King-Exs-and-Ohs-lyrics
73,74,Dear-Future-Husband,Meghan-Trainor,http://genius.com/Meghan-Trainor-Dear-Future-Husband-lyrics
74,75,Marvin-Gaye,Charlie-Puth,http://genius.com/Charlie-Puth-Marvin-Gaye-lyrics
75,76,Like-Im-Gonna-Lose-You,Meghan-Trainor,http://genius.com/Meghan-Trainor-Like-Im-Gonna-Lose-You-lyrics
76,77,Habits-Stay-High,Tove-Lo,http://genius.com/Tove-Lo-Habits-Stay-High-lyrics
77,78,The-Hanging-Tree,James-Newton-Howard,http://genius.com/James-Newton-Howard-The-Hanging-Tree-lyrics
78,79,CoCo,OT-Genasis,http://genius.com/OT-Genasis-CoCo-lyrics
79,80,Bang-Bang,Jessie-J,http://genius.com/Jessie-J-Bang-Bang-lyrics
80,81,Lay-Me-Down,Sam-Smith,http://genius.com/Sam-Smith-Lay-Me-Down-lyrics
81,82,Tuesday,ILoveMakonnen,http://genius.com/ILoveMakonnen-Tuesday-lyrics
82,83,Hit-the-Quan,iLoveMemphis,http://genius.com/iLoveMemphis-Hit-the-Quan-lyrics
83,84,Downtown,Macklemore-and-Ryan-Lewis,http://genius.com/Macklemore-and-Ryan-Lewis-Downtown-lyrics
84,85,House-Party,Sam-Hunt,http://genius.com/Sam-Hunt-House-Party-lyrics
85,86,Ayo,Chris-Brown,http://genius.com/Chris-Brown-Ayo-lyrics
86,87,Kick-the-Dust-Up,Luke-Bryan,http://genius.com/Luke-Bryan-Kick-the-Dust-Up-lyrics
87,88,Blessings,Big-Sean,http://genius.com/Big-Sean-Blessings-lyrics
88,89,Budapest,George-Ezra,http://genius.com/George-Ezra-Budapest-lyrics
89,90,Chandelier,Sia,http://genius.com/Sia-Chandelier-lyrics
90,91,Heartbeat-Song,Kelly-Clarkson,http://genius.com/Kelly-Clarkson-Heartbeat-Song-lyrics
91,92,Dont,Ed-Sheeran,http://genius.com/Ed-Sheeran-Dont-lyrics
92,93,Ghost,Ella-Henderson,http://genius.com/Ella-Henderson-Ghost-lyrics
93,94,Here,Alessia-Cara,http://genius.com/Alessia-Cara-Here-lyrics
94,95,Waves,Mr-Probz,http://genius.com/Mr-Probz-Waves-lyrics
95,96,El-Perdon,Nicky-Jam,http://genius.com/Nicky-Jam-El-Perdon-lyrics
96,97,She-Knows,Ne-Yo,http://genius.com/Ne-Yo-She-Knows-lyrics
97,98,Night-Changes,One-Direction,http://genius.com/One-Direction-Night-Changes-lyrics
98,99,Back-to-Back,Drake,http://genius.com/Drake-Back-to-Back-lyrics
99,100,How-Deep-Is-Your-Love,Calvin-Harris,http://genius.com/Calvin-Harris-How-Deep-Is-Your-Love-lyrics
