,0
0,318
1,396
2,591
3,439
4,338
5,508
6,426
7,269
8,448
9,415
10,368
11,332
12,427
13,470
14,288
15,331
16,569
17,270
18,315
19,601
20,436
21,630
22,635
23,401
24,252
25,454
26,419
27,360
28,439
29,520
30,396
31,419
32,319
33,319
34,356
35,403
36,325
37,608
38,497
39,354
40,286
41,192
42,430
43,426
44,439
45,921
46,321
47,518
48,361
49,863
50,349
51,340
52,144
53,655
54,375
55,319
56,164
57,343
58,321
59,559
60,480
61,204
62,275
63,324
64,498
65,394
66,305
67,486
68,397
69,368
70,526
71,351
72,364
73,322
74,367
75,390
76,269
77,290
78,384
79,220
80,549
81,453
82,696
83,358
84,607
85,333
86,891
87,275
88,385
89,447
90,602
91,433
92,432
93,120
94,338
95,435
96,296
97,532
98,384
