unique_word_counts,word_counts
130,413
132,359
138,434
192,336
154,476
135,421
116,485
188,487
127,353
179,596
186,217
91,494
100,325
132,359
103,551
119,525
122,463
153,492
140,317
172,626
342,569
222,584
151,284
126,942
137,282
124,285
89,389
233,286
93,257
119,525
194,249
137,282
97,187
386,735
168,184
176,354
179,596
230,586
144,325
92,483
409,448
108,326
186,217
89,389
287,288
69,535
294,391
83,477
130,413
268,360
295,414
155,318
136,532
104,255
114,280
186,217
103,551
129,268
157,312
105,318
102,328
108,326
202,218
203,21
149,174
135,421
135,421
65,389
62,381
135,421
157,312
102,328
64,427
160,503
126,942
79,342
99,689
111,340
127,353
139,507
153,492
134,444
98,233
151,284
231,459
120,245
143,417
173,429
112,345
148,156
70,416
131,523
182,336
100,325
216,426
131,523
96,310
98,233
147,420
203,21
121,269
102,328
124,285
202,218
83,477
78,292
100,325
62,381
134,444
98,233
207,306
126,942
103,551
190,318
115,418
181,344
155,318
112,345
136,532
250,355
51,327
93,257
186,217
72,174
132,359
139,507
340,362
126,942
132,359
86,426
112,345
215,361
120,245
165,347
92,483
127,353
149,174
82,413
135,421
248,260
124,285
33,847
126,942
114,280
139,507
105,318
87,487
193,401
64,427
64,427
182,336
99,689
124,285
262,511
131,523
72,174
168,184
164,226
164,226
126,942
176,354
156,334
213,490
110,495
48,411
133,458
103,551
76,358
78,292
95,313
130,413
106,371
208,428
90,142
108,326
95,313
121,269
192,336
72,174
202,218
137,282
133,458
93,257
70,416
108,326
213,490
78,292
126,942
107,215
154,476
104,255
195,231
125,297
78,292
86,426
111,340
98,233
162,609
97,187
89,389
295,414
217,338
64,427
5,392
264,300
175,261
135,421
135,421
150,450
101,415
91,494
76,358
98,233
65,389
131,523
110,495
122,463
97,187
92,483
231,459
60,469
261,316
116,485
104,255
47,466
88,409
78,292
61,378
61,378
87,487
166,149
136,532
91,494
59,323
105,318
161,351
93,257
112,345
180,391
105,318
255,315
127,353
296,358
88,409
105,318
64,427
104,255
199,249
93,257
148,156
85,454
89,389
92,483
142,335
87,487
102,328
108,326
190,318
249,412
176,354
116,485
117,460
108,326
208,428
141,127
105,318
314,140
109,379
132,359
108,326
105,318
155,318
117,460
87,487
135,421
159,319
100,325
140,317
288,320
117,460
95,313
157,312
118,405
98,233
106,371
90,142
203,21
98,233
155,318
89,389
266,668
99,689
128,222
91,494
133,458
120,245
89,389
132,359
162,609
108,326
88,409
196,240
111,340
209,455
108,326
135,421
122,463
114,280
144,325
67,173
108,326
84,586
117,460
103,551
12,386
273,359
53,250
140,317
89,389
131,523
145,411
92,483
117,460
118,405
99,689
194,249
149,174
84,586
91,494
221,695
86,426
112,345
38,519
95,313
242,632
194,249
91,494
113,436
93,257
157,312
100,325
188,487
158,414
97,187
131,523
101,415
94,569
117,460
165,347
156,334
54,223
234,319
115,418
236,343
59,323
192,336
64,427
189,412
84,586
55,689
66,232
112,345
112,345
149,174
181,344
184,363
114,280
126,942
141,127
91,494
4,482
279,343
144,325
120,245
143,417
148,156
162,609
65,389
157,312
109,379
152,301
83,477
217,338
140,317
104,255
165,347
272,228
92,483
351,602
179,596
108,326
310,343
113,436
70,416
250,355
163,327
373,414
72,174
105,318
76,358
139,507
129,268
157,312
195,231
120,245
86,426
188,487
38,519
88,409
136,532
174,315
68,215
99,689
162,609
125,297
77,351
83,477
117,460
80,368
115,418
216,426
113,436
110,495
177,450
95,313
95,313
149,174
114,280
133,458
130,413
149,174
143,417
90,142
127,353
128,222
109,379
102,328
102,328
201,609
121,269
88,409
115,418
125,297
189,412
154,476
112,345
309,164
94,569
174,315
223,242
362,374
103,551
107,215
61,378
210,306
93,257
124,285
67,173
98,233
92,483
116,485
167,175
84,586
101,415
82,413
266,668
94,569
65,389
175,261
143,417
110,495
166,149
111,340
144,325
91,494
112,345
112,345
55,689
81,280
149,174
103,551
176,354
165,347
317,369
110,495
225,273
134,444
368,389
82,413
99,689
111,340
234,319
122,463
195,231
60,469
129,268
188,487
108,326
237,460
54,223
